Altium Designer Pick and Place Locations
C:\OneDrive\OneDrive - G-Matrix Systems\VMatrix\Pulse Counter\Pulse_Counter\Project Outputs for Pulse_Counter\Pick Place\Pick Place for PulseV1.csv

========================================================================================================================
File Design Information:

Date:       18/02/26
Time:       20:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U4","BMP388","TopLayer","PQFN50P200X200X80-10N","3215.000","995.000","270","P-Sensor SPI I2C 1, 25 Bar SMD"
"C9","CC0603KRX7R9BB104","TopLayer","FP-CC0603-DA-MFG","3190.000","845.000","270","CAP CER 0.1UF 50V X7R 0603"
"U5","LIS2DH12TR","TopLayer","FP-LGA-12-8365767-MFG","2426.870","969.842","90","ACCEL 2-16G I2C/SPI 12LGA"
"C12","CC0603KRX7R9BB104","TopLayer","FP-CC0603-DA-MFG","2417.028","816.220","270","CAP CER 0.1UF 50V X7R 0603"
"C11","CC0603KRX7R9BB104","TopLayer","FP-CC0603-DA-MFG","2185.472","470.000","180","CAP CER 0.1UF 50V X7R 0603"
"U1","ESP32-C3_SUPERMINI_TH","TopLayer","MODULE_ESP32-C3_SUPERMINI_TH","1380.000","600.000","0","Super tiny ESP32-C3 board"
"J2","KF128-5.08-3P-AA","TopLayer","KF1285083PAA","3140.000","450.000","270","Connector"
"J1","WJ500V-5.08-2P","TopLayer","WJ500V5082P","220.000","750.000","90","Connector"
"U3","LMV331IDBVR","TopLayer","FP-DBV0005A-MFG","2373.819","507.401","180","IC GP LV COMPARATOR SOT-23-5"
"U2","TPS54302DDCR","TopLayer","FP-DDC0006A-MFG","707.716","587.717","270","IC REG BUCK ADJ 3A TSOT23-6"
"R21","FRC0603J104 TS","TopLayer","RESC0603(1608)_N","2830.000","541.496","90","100K 0.1W 1% 0603 (1608 Metric)  SMD"
"R19","FRC0603J102 TS","TopLayer","FP-TFCR0603-MFG","550.000","110.000","90","RES Thin Film,  1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R18","FRC0603J102 TS","TopLayer","FP-TFCR0603-MFG","640.000","110.000","90","RES Thin Film,  1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R17","FRC0603J102 TS","TopLayer","FP-TFCR0603-MFG","730.000","110.000","90","RES Thin Film,  1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R16","FRC0603J102 TS","TopLayer","FP-TFCR0603-MFG","820.000","110.000","90","RES Thin Film,  1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R14","FRC0603J472 TS","TopLayer","FP-MCT0603-IPC_C","2310.000","830.221","270","RES SMD 100 OHM 1% 1/8W 0603"
